Time,Accel_x,Accel_y,Accel_z,PitchSpeed,YawSpeed,RollSpeed
7/26/2018 3:29:12 PM,0.1067448,-0.9914204,-0.07543946,12.8,9.35,48.8
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.75,9.900001,48.8
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.75,9.900001,48.8
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.35,10.45,48.45
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.35,10.45,48.45
7/26/2018 3:29:12 PM,0.09381998,-0.9928883,-0.07328461,12.05,10.6,49.15
7/26/2018 3:29:12 PM,0.09381998,-0.9928883,-0.07328461,12.05,10.6,49.15
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.45,10.2,48.7
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.45,10.2,48.7
7/26/2018 3:29:12 PM,0.08401798,-0.993761,-0.07334903,13.1,11.05,49.05
7/26/2018 3:29:12 PM,0.08401798,-0.993761,-0.07334903,13.1,11.05,49.05
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,13.15,10.95,48.9
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,13.15,10.95,48.9
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,13.2,10.4,48.65
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,13.2,10.4,48.65
7/26/2018 3:29:12 PM,0.09674729,-0.9931517,-0.06549503,12.35,10.3,48.6
7/26/2018 3:29:12 PM,0.09674729,-0.9931517,-0.06549503,12.35,10.3,48.6
7/26/2018 3:29:12 PM,0.08664429,-0.9940801,-0.06555626,11.9,10.4,48.85
7/26/2018 3:29:12 PM,0.08664429,-0.9940801,-0.06555626,11.9,10.4,48.85
7/26/2018 3:29:12 PM,0.08325098,-0.994536,-0.06298884,12.1,9.85,49.25
7/26/2018 3:29:12 PM,0.08325098,-0.994536,-0.06298884,12.1,9.85,49.25
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.15,9.400001,49.05
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.15,9.400001,49.05
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,12.55,9.85,48.85
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,12.55,9.85,48.85
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.4,10,48.7
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.4,10,48.7
7/26/2018 3:29:12 PM,0.09381998,-0.9928883,-0.07328461,11.9,9.650001,48.55
7/26/2018 3:29:12 PM,0.09381998,-0.9928883,-0.07328461,11.9,9.650001,48.55
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.25,9.900001,48.55
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.25,9.900001,48.55
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.8,9.85,48.75
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.8,9.85,48.75
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,13.05,10.05,48.9
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,13.05,10.05,48.9
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,13.5,10.2,49
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,13.5,10.2,49
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.6,9.75,48.95
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.6,9.75,48.95
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.45,10.05,48.5
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.45,10.05,48.5
7/26/2018 3:29:12 PM,0.09381998,-0.9928883,-0.07328461,11.95,10.6,48.55
7/26/2018 3:29:12 PM,0.09381998,-0.9928883,-0.07328461,11.95,10.6,48.55
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,11.6,10.9,49.1
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,11.6,10.9,49.1
7/26/2018 3:29:12 PM,0.08407428,-0.994427,-0.06361175,12.1,10.8,48.8
7/26/2018 3:29:12 PM,0.08407428,-0.994427,-0.06361175,12.1,10.8,48.8
7/26/2018 3:29:12 PM,0.08319631,-0.9938828,-0.0726317,12.45,10.8,48.8
7/26/2018 3:29:12 PM,0.08319631,-0.9938828,-0.0726317,12.45,10.8,48.8
7/26/2018 3:29:12 PM,0.08401798,-0.993761,-0.07334903,12.6,10.75,48.9
7/26/2018 3:29:12 PM,0.08401798,-0.993761,-0.07334903,12.6,10.75,48.9
7/26/2018 3:29:12 PM,0.08664429,-0.9940801,-0.06555626,13.5,10.55,48.8
7/26/2018 3:29:12 PM,0.08664429,-0.9940801,-0.06555626,13.5,10.55,48.8
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,13.05,10.1,49.15
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,13.05,10.1,49.15
7/26/2018 3:29:12 PM,0.08664429,-0.9940801,-0.06555626,12.95,10.1,48.85
7/26/2018 3:29:12 PM,0.08664429,-0.9940801,-0.06555626,12.95,10.1,48.85
7/26/2018 3:29:12 PM,0.09381998,-0.9928883,-0.07328461,12.1,9.25,48.9
7/26/2018 3:29:12 PM,0.09381998,-0.9928883,-0.07328461,12.1,9.25,48.9
7/26/2018 3:29:12 PM,0.09674729,-0.9931517,-0.06549503,11.25,9.400001,48.45
7/26/2018 3:29:12 PM,0.09674729,-0.9931517,-0.06549503,11.25,9.400001,48.45
7/26/2018 3:29:12 PM,0.09381998,-0.9928883,-0.07328461,11.55,10.2,49.05
7/26/2018 3:29:12 PM,0.09381998,-0.9928883,-0.07328461,11.55,10.2,49.05
7/26/2018 3:29:12 PM,0.09381998,-0.9928883,-0.07328461,13.45,10.4,48.75
7/26/2018 3:29:12 PM,0.09381998,-0.9928883,-0.07328461,13.45,10.4,48.75
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,13.5,10.3,48.8
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,13.5,10.3,48.8
7/26/2018 3:29:12 PM,0.09381998,-0.9928883,-0.07328461,13.4,10.2,48.8
7/26/2018 3:29:12 PM,0.09381998,-0.9928883,-0.07328461,13.4,10.2,48.8
7/26/2018 3:29:12 PM,0.1067448,-0.9914204,-0.07543946,13.05,9.55,48.5
